"REF_DATE","GEO","DGUID","First official language spoken","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Manitoba","2016A000246","Official language minority","Number","Number","223","units ","0","v1043024714","8.6.1","62177","","","","0"
"1971","Saskatchewan ","2016A000247","Total, first official language spoken","Number","Number","223","units ","0","v1043024716","9.1.1","926242","","","","0"
"1971","Saskatchewan ","2016A000247","French","Number","Number","223","units ","0","v1043024717","9.2.1","32134","","","","0"
"1971","Saskatchewan ","2016A000247","English","Number","Number","223","units ","0","v1043024718","9.3.1","882163","","","","0"
"1971","Saskatchewan ","2016A000247","English and french","Number","Number","223","units ","0","v1043024719","9.4.1","833","","","","0"
"1971","Saskatchewan ","2016A000247","Neither english nor French","Number","Number","223","units ","0","v1043024720","9.5.1","11112","","","","0"
"1971","Saskatchewan ","2016A000247","Official language minority","Number","Number","223","units ","0","v1043024721","9.6.1","32551","","","","0"
"1971","Alberta","2016A000248","Total, first official language spoken","Number","Number","223","units ","0","v1043024723","10.1.1","1627874","","","","0"
"1971","Alberta","2016A000248","French","Number","Number","223","units ","0","v1043024724","10.2.1","47301","","","","0"
"1971","Alberta","2016A000248","English","Number","Number","223","units ","0","v1043024725","10.3.1","1560209","","","","0"
"1971","Alberta","2016A000248","English and french","Number","Number","223","units ","0","v1043024726","10.4.1","2373","","","","0"
"1971","Alberta","2016A000248","Neither english nor French","Number","Number","223","units ","0","v1043024727","10.5.1","17991","","","","0"
"1971","Alberta","2016A000248","Official language minority","Number","Number","223","units ","0","v1043024728","10.6.1","48488","","","","0"
"1971","British Columbia","2016A000259","Total, first official language spoken","Number","Number","223","units ","0","v1043024730","11.1.1","2184621","","","","0"
"1971","British Columbia","2016A000259","French","Number","Number","223","units ","0","v1043024731","11.2.1","38769","","","","0"
"1971","British Columbia","2016A000259","English","Number","Number","223","units ","0","v1043024732","11.3.1","2115130","","","","0"
"1971","British Columbia","2016A000259","English and french","Number","Number","223","units ","0","v1043024733","11.4.1","3997","","","","0"
"1971","British Columbia","2016A000259","Neither english nor French","Number","Number","223","units ","0","v1043024734","11.5.1","26725","","","","0"
"1971","British Columbia","2016A000259","Official language minority","Number","Number","223","units ","0","v1043024735","11.6.1","40768","","","","0"
"1971","Yukon","2016A000260","Total, first official language spoken","Number","Number","223","units ","0","v1043024737","12.1.1","18388","","","","0"
"1971","Yukon","2016A000260","French","Number","Number","223","units ","0","v1043024738","12.2.1","459","","","","0"
"1971","Yukon","2016A000260","English","Number","Number","223","units ","0","v1043024739","12.3.1","17873","","","","0"
"1971","Yukon","2016A000260","English and french","Number","Number","223","units ","0","v1043024740","12.4.1","18","","","","0"
"1971","Yukon","2016A000260","Neither english nor French","Number","Number","223","units ","0","v1043024741","12.5.1","38","","","","0"
"1971","Yukon","2016A000260","Official language minority","Number","Number","223","units ","0","v1043024742","12.6.1","468","","","","0"
"1971","Northwest Territories including Nunavut","2016A000261","Total, first official language spoken","Number","Number","223","units ","0","v1043024744","13.1.1","34807","","","t","0"
"1971","Northwest Territories including Nunavut","2016A000261","French","Number","Number","223","units ","0","v1043024745","13.2.1","1180","","","t","0"
"1971","Northwest Territories including Nunavut","2016A000261","English","Number","Number","223","units ","0","v1043024746","13.3.1","26440","","","t","0"
"1971","Northwest Territories including Nunavut","2016A000261","English and french","Number","Number","223","units ","0","v1043024747","13.4.1","101","","","t","0"
"1971","Northwest Territories including Nunavut","2016A000261","Neither english nor French","Number","Number","223","units ","0","v1043024748","13.5.1","7086","","","t","0"
"1971","Northwest Territories including Nunavut","2016A000261","Official language minority","Number","Number","223","units ","0","v1043024749","13.6.1","1231","","","t","0"
"1971","Canada outside Quebec","","Total, first official language spoken","Number","Number","223","units ","0","v1043024765","16.1.1","15540547","","","","0"
"1971","Canada outside Quebec","","French","Number","Number","223","units ","0","v1043024766","16.2.1","935530","","","","0"
"1971","Canada outside Quebec","","English","Number","Number","223","units ","0","v1043024767","16.3.1","14308714","","","","0"
"1971","Canada outside Quebec","","English and french","Number","Number","223","units ","0","v1043024768","16.4.1","40386","","","","0"
"1971","Canada outside Quebec","","Neither english nor French","Number","Number","223","units ","0","v1043024769","16.5.1","255917","","","","0"
"1971","Canada outside Quebec","","Official language minority","Number","Number","223","units ","0","v1043024770","16.6.1","955723","","","","0"
"1981","Canada","2016A000011124","Total, first official language spoken","Number","Number","223","units ","0","v1043024660","1.1.1","24083496","","","","0"
"1981","Canada","2016A000011124","French","Number","Number","223","units ","0","v1043024661","1.2.1","6232190","","","","0"
"1981","Canada","2016A000011124","English","Number","Number","223","units ","0","v1043024662","1.3.1","17359200","","","","0"
"1981","Canada","2016A000011124","English and french","Number","Number","223","units ","0","v1043024663","1.4.1","213357","","","","0"
"1981","Canada","2016A000011124","Neither english nor French","Number","Number","223","units ","0","v1043024664","1.5.1","278749","","","","0"
"1981","Canada","2016A000011124","Official language minority","Number","Number","223","units ","0","v1043024665","1.6.1","6338869","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Total, first official language spoken","Number","Number","223","units ","0","v1043024667","2.1.1","563747","","","","0"
"1981","Newfoundland and Labrador","2016A000210","French","Number","Number","223","units ","0","v1043024668","2.2.1","2127","","","","0"
"1981","Newfoundland and Labrador","2016A000210","English","Number","Number","223","units ","0","v1043024669","2.3.1","560929","","","","0"
"1981","Newfoundland and Labrador","2016A000210","English and french","Number","Number","223","units ","0","v1043024670","2.4.1","313","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Neither english nor French","Number","Number","223","units ","0","v1043024671","2.5.1","378","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Official language minority","Number","Number","223","units ","0","v1043024672","2.6.1","2284","","","","0"
"1981","Prince Edward Island","2016A000211","Total, first official language spoken","Number","Number","223","units ","0","v1043024674","3.1.1","121223","","","","0"
"1981","Prince Edward Island","2016A000211","French","Number","Number","223","units ","0","v1043024675","3.2.1","5145","","","","0"
